Split Number,mean_squared_error,mean_absolute_error,mean_absolute_percentage_error
0,1.2827038255541624e-06,0.000621854176858149,1.3059960664470441e-05
1,1.3466537167019315e-06,0.0006263794815152227,1.2956212100408227e-05
2,1.347513140655963e-06,0.0006295998269436498,1.2952659638273341e-05
3,1.3241714273251096e-06,0.0006264520332731285,1.2910420729212073e-05
4,1.321053684224351e-06,0.0006226802201507374,1.3068042018564571e-05
5,1.3271553398104361e-06,0.0006236249686190178,1.287276714788639e-05
6,1.299399845372387e-06,0.000623772479592948,1.3153789513763183e-05
7,1.2966962108803237e-06,0.0006229962102485203,1.3058217726841852e-05
8,1.316442895504202e-06,0.0006247243402004228,1.3020186439785387e-05
9,1.3516454058354108e-06,0.0006152184132243135,1.2655242121942948e-05
10,1.312084144327287e-06,0.0006204153725577518,1.3003017745690765e-05
11,1.3348741747298568e-06,0.0006248893678802551,1.2921385625096726e-05
12,1.3763380560188736e-06,0.0006317630939120054,1.2951377233057702e-05
13,1.2928651920765776e-06,0.0006148594665511305,1.274761468842248e-05
14,1.3066834351132221e-06,0.0006185646050222323,1.302933677243513e-05
15,1.3299244990283673e-06,0.0006243967578749712,1.2986481017960197e-05
16,1.3353387961502082e-06,0.0006256059837993331,1.2945721810249696e-05
17,1.3248056707216304e-06,0.0006158937513400373,1.2813144334832762e-05
18,1.3260900015743518e-06,0.0006241144728530574,1.3068582543065917e-05
19,1.2930421703504199e-06,0.000620280713755006,1.300139944480264e-05
20,1.2818942848525806e-06,0.000613472679428686,1.2781519361799049e-05
21,1.2890788472758262e-06,0.0006163017078558794,1.3004324104328563e-05
22,1.3353444569777137e-06,0.0006196840262215315,1.2959493474813894e-05
23,1.3911065988422433e-06,0.0006335516068434555,1.2880771071447591e-05
24,1.3229448479341505e-06,0.0006187873274082123,1.2909419210265354e-05
25,1.3149945380929947e-06,0.0006254677972921572,1.3048903057435864e-05
26,1.337827706243097e-06,0.0006211131722276658,1.3040013019555671e-05
27,1.2824884572502804e-06,0.0006160396568021683,1.3007607191624214e-05
28,1.3463402240285443e-06,0.0006256984189507468,1.281130544956283e-05
29,1.3123279860366985e-06,0.0006143985382012264,1.2550871927813762e-05
30,1.3296362044891636e-06,0.0006220031476325744,1.2799962020891641e-05
31,1.3352513678746761e-06,0.0006212712662547146,1.2686752197255671e-05
32,1.3249372402601916e-06,0.0006139679145268862,1.26472311770553e-05
33,1.330605798195429e-06,0.0006240630547515196,1.2869313505776456e-05
34,1.3607104276348925e-06,0.0006273081816045509,1.2837268049301093e-05
35,1.3634675012784095e-06,0.000627458115477906,1.2783510620522947e-05
36,1.3267389616772299e-06,0.0006244859003312312,1.3046064572904371e-05
37,1.3321119801304483e-06,0.0006263593101306711,1.2872748936572754e-05
38,1.2657142520907988e-06,0.000617682035057865,1.2970003241653266e-05
39,1.3418453817520075e-06,0.0006217575745546115,1.2841519616937812e-05
40,1.2775427793487556e-06,0.0006135363396425805,1.3078517846419953e-05
41,1.336067684005462e-06,0.000626766800105892,1.275942733087979e-05
42,1.3317070394892165e-06,0.0006245997565013905,1.278335758193093e-05
43,1.2862125787150923e-06,0.0006204795935209148,1.2930967342634807e-05
44,1.3537993049381255e-06,0.0006258060713450629,1.2885593970866496e-05
45,1.2820815092676907e-06,0.0006163544320812042,1.289891006478518e-05
46,1.346376140902894e-06,0.0006261887078337539,1.3075625202734746e-05
47,1.3270284895297141e-06,0.0006209728331734399,1.3025140182665965e-05
48,1.375807757105043e-06,0.0006305078269400227,1.3014363678607551e-05
49,1.2938661160359804e-06,0.0006259146605722826,1.3209831369697055e-05
50,1.3191966917928014e-06,0.0006183444188511568,1.2816133417775392e-05
51,1.3009764898030417e-06,0.0006199505403006259,1.2778318113358614e-05
52,1.322692176084097e-06,0.0006276414314307858,1.2997950928830341e-05
53,1.3821023193507762e-06,0.0006322750271455133,1.3029058149352306e-05
54,1.3129898944544414e-06,0.0006235685165851083,1.2993603206561942e-05
55,1.3394864812926743e-06,0.0006276585096974778,1.3042553090540452e-05
56,1.356435647994625e-06,0.000624625434897312,1.2876597402220181e-05
57,1.307656826553507e-06,0.0006185855468673119,1.3098606207074633e-05
58,1.3294130634402945e-06,0.0006207351904501111,1.2908201084618207e-05
59,1.3212532401468789e-06,0.0006216455654052491,1.2924377007472972e-05
60,1.298870763715337e-06,0.0006157326739711417,1.2755139089987538e-05
61,1.3370790129431549e-06,0.0006259009356418395,1.2982728298160105e-05
62,1.3607988337208287e-06,0.0006339717210016931,1.320283879488719e-05
63,1.3421811692895794e-06,0.0006245769265404583,1.2958394658139867e-05
64,1.3511167498891008e-06,0.0006215964009427671,1.2786506372433999e-05
65,1.337181643906959e-06,0.0006278752339792306,1.2954688123257806e-05
66,1.338789635023951e-06,0.0006224051276181084,1.2814382544734045e-05
67,1.3238729357620956e-06,0.000627440298064881,1.3239865932480873e-05
68,1.3514844664181652e-06,0.0006300879279672845,1.2878142812878988e-05
69,1.3409177449351762e-06,0.0006296293961255348,1.3043943044918825e-05
70,1.3430188931695232e-06,0.0006228412593957841,1.2650329299988977e-05
71,1.3267995197537314e-06,0.0006242925520175952,1.2958016029840275e-05
72,1.3522505333730917e-06,0.0006249213452207904,1.2906390131003698e-05
73,1.3478303480016443e-06,0.0006285894609924837,1.3118295655313776e-05
74,1.3227509531861435e-06,0.0006245768058451724,1.2947604621193259e-05
75,1.3375958405428516e-06,0.0006272580065227114,1.2993624295157959e-05
76,1.3183514151186248e-06,0.000625095798581863,1.2968694726770922e-05
77,1.2645084308133551e-06,0.0006174616722195086,1.29608842656259e-05
78,1.3101155673781928e-06,0.0006193940619572473,1.3079611590141262e-05
79,1.3172212978083516e-06,0.0006239599174888218,1.2871727414951757e-05
80,1.3423773194196924e-06,0.0006206824727627284,1.2919457553726474e-05
81,1.321646990540855e-06,0.000624711099665423,1.2736157365460464e-05
